"";"id_post_u";"message";"loc";"candidate";"lon";"lat";"nse"
"41";"10155413231378025";"Esta mañana estuvimos en la feria Arrieta de Peñalolén, donde junto a Beatriz Sánchez y l@s candidat@s del Frente Amplio Chile compartimos con los vecinos y presentamos la propuesta #MenosLujosMasSonrisas. Vamos a reducir los sueldos de los altos cargos políticos a la mitad, con lo recaudado garantizaremos una clínica dental móvil para cada comuna de Chile.";"feria arrieta, penalolen , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,5538368;-33,4626875;76,82
"42";"1410617265724855";"FIESTA COSTUMBRISTA #SANTOTOMÁS ElBosque | Esta tarde participé como jurado en la fiesta del colegio junto a la concejal Patricia Arriagada. Excelentes stand, familias disfrutando y sobre todo, mucha motivación de los apoderados, ¡felicitaciones! #PilladoDiputado";"fiesta costumbrista santo tomas, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,692222;-33,5761737;43,8
"43";"1410617265724855";"FIESTA COSTUMBRISTA #SANTOTOMÁS ElBosque | Esta tarde participé como jurado en la fiesta del colegio junto a la concejal Patricia Arriagada. Excelentes stand, familias disfrutando y sobre todo, mucha motivación de los apoderados, ¡felicitaciones! #PilladoDiputado";"fiesta costumbrista santo tomas, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,692222;-33,5761737;43,8
"44";"1440559922730589";"MEJOR SALUD PARA LOS NIÑOS <U+0001F476><U+0001F3FB><U+0001F466><U+0001F3FD><U+0001F467><U+0001F3FC> Hoy estuve presente en la inauguración del #hospital Exequiel González Cortés en #SanMiguel, proyecto que se inició durante el Gobierno de Sebastián Piñera. Esta es una excelente noticia para todos los niños que podrán atenderse en un recinto moderno con equipos de calidad. ¡Felicitaciones! #PilladoDiputado #PiñeraPresidente";"hospital exequiel gonzalez cortes, san miguel , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6480962;-33,484877;91,34
"45";"1440559922730589";"MEJOR SALUD PARA LOS NIÑOS <U+0001F476><U+0001F3FB><U+0001F466><U+0001F3FD><U+0001F467><U+0001F3FC> Hoy estuve presente en la inauguración del #hospital Exequiel González Cortés en #SanMiguel, proyecto que se inició durante el Gobierno de Sebastián Piñera. Esta es una excelente noticia para todos los niños que podrán atenderse en un recinto moderno con equipos de calidad. ¡Felicitaciones! #PilladoDiputado #PiñeraPresidente";"hospital exequiel gonzalez cortes, san miguel , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6480962;-33,484877;91,34
"46";"1440559922730589";"MEJOR SALUD PARA LOS NIÑOS <U+0001F476><U+0001F3FB><U+0001F466><U+0001F3FD><U+0001F467><U+0001F3FC> Hoy estuve presente en la inauguración del #hospital Exequiel González Cortés en #SanMiguel, proyecto que se inició durante el Gobierno de Sebastián Piñera. Esta es una excelente noticia para todos los niños que podrán atenderse en un recinto moderno con equipos de calidad. ¡Felicitaciones! #PilladoDiputado #PiñeraPresidente";"hospital exequiel gonzalez cortes, san miguel , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6480962;-33,484877;91,34
"47";"1440559922730589";"MEJOR SALUD PARA LOS NIÑOS <U+0001F476><U+0001F3FB><U+0001F466><U+0001F3FD><U+0001F467><U+0001F3FC> Hoy estuve presente en la inauguración del #hospital Exequiel González Cortés en #SanMiguel, proyecto que se inició durante el Gobierno de Sebastián Piñera. Esta es una excelente noticia para todos los niños que podrán atenderse en un recinto moderno con equipos de calidad. ¡Felicitaciones! #PilladoDiputado #PiñeraPresidente";"hospital exequiel gonzalez cortes, san miguel , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6480962;-33,484877;91,34
"48";"10155377120028025";"Nuestra participación en el Diálogo Ciudadano organizado por la Junta de Vecinos Valle Oriente Cordillera en Peñalolén, el sábado 28 de octubre. Una interesante actividad organizada por y para l@s vecin@s. #UnVoTOMÁS y cambia todo! #VotaHirschG57";"valle oriente cordillera, penalolen , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,5795113;-33,5011911;54,1
"49";"10155377120028025";"Nuestra participación en el Diálogo Ciudadano organizado por la Junta de Vecinos Valle Oriente Cordillera en Peñalolén, el sábado 28 de octubre. Una interesante actividad organizada por y para l@s vecin@s. #UnVoTOMÁS y cambia todo! #VotaHirschG57";"valle oriente cordillera, penalolen , Region Metropolitana, Chile";"TOMAS HIRSCH";-70,5795113;-33,5011911;54,1
"50";"1397127850407130";"RECORRIENDO LA #FERIA ALPATACAL #SanRamón | Seguimos en terreno compartiendo nuestras propuestas con los vecinos. Gracias por escucharnos, compartir sus inquietudes y llenarnos de energía para continuar en este gran desafío. ¡Se vienen #TiemposMejores! #PilladoDiputado #VotaP78 #PiñeraPresidente";"feria alpatacal, san ramon , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6396954;-33,5393702;33,48
"51";"1397127850407130";"RECORRIENDO LA #FERIA ALPATACAL #SanRamón | Seguimos en terreno compartiendo nuestras propuestas con los vecinos. Gracias por escucharnos, compartir sus inquietudes y llenarnos de energía para continuar en este gran desafío. ¡Se vienen #TiemposMejores! #PilladoDiputado #VotaP78 #PiñeraPresidente";"feria alpatacal, san ramon , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6396954;-33,5393702;33,48
"52";"1378044135648835";"SUMANDO APOYO <U+0001F4AA><U+0001F3FC> #ElBosque | Hoy día recorrimos la feria Julio Covarrubias. Me gusta conversar con los vecinos, creo que es la única forma en sintonizar con sus prioridades y trabajar por ellos. #PilladoDiputado #PiñeraPresidente";"feria julio covarrubias, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6617598;-33,5578424;38,83
"53";"1378044135648835";"SUMANDO APOYO <U+0001F4AA><U+0001F3FC> #ElBosque | Hoy día recorrimos la feria Julio Covarrubias. Me gusta conversar con los vecinos, creo que es la única forma en sintonizar con sus prioridades y trabajar por ellos. #PilladoDiputado #PiñeraPresidente";"feria julio covarrubias, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6617598;-33,5578424;38,83
"54";"1378044135648835";"SUMANDO APOYO <U+0001F4AA><U+0001F3FC> #ElBosque | Hoy día recorrimos la feria Julio Covarrubias. Me gusta conversar con los vecinos, creo que es la única forma en sintonizar con sus prioridades y trabajar por ellos. #PilladoDiputado #PiñeraPresidente";"feria julio covarrubias, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6617598;-33,5578424;38,83
"55";"1376042779182304";"Tiqui tiqui tii <U+0001F1E8><U+0001F1F1> #ElBosque | Continuamos celebrando la llegada de septiembre. Anoche estuvimos en la Peña Folclórica en El Bosque. ¡Mantengamos vivas nuestra tradiciones! Gracias a los vecinos y a la concejal Patricia Arriagada por el grato momento! #PilladoDiputado #PiñeraPresidente";"pena folclorica, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6874312;-33,57146;57,13
"56";"1376042779182304";"Tiqui tiqui tii <U+0001F1E8><U+0001F1F1> #ElBosque | Continuamos celebrando la llegada de septiembre. Anoche estuvimos en la Peña Folclórica en El Bosque. ¡Mantengamos vivas nuestra tradiciones! Gracias a los vecinos y a la concejal Patricia Arriagada por el grato momento! #PilladoDiputado #PiñeraPresidente";"pena folclorica, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6874312;-33,57146;57,13
"57";"1376042779182304";"Tiqui tiqui tii <U+0001F1E8><U+0001F1F1> #ElBosque | Continuamos celebrando la llegada de septiembre. Anoche estuvimos en la Peña Folclórica en El Bosque. ¡Mantengamos vivas nuestra tradiciones! Gracias a los vecinos y a la concejal Patricia Arriagada por el grato momento! #PilladoDiputado #PiñeraPresidente";"pena folclorica, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6874312;-33,57146;57,13
"58";"1376042779182304";"Tiqui tiqui tii <U+0001F1E8><U+0001F1F1> #ElBosque | Continuamos celebrando la llegada de septiembre. Anoche estuvimos en la Peña Folclórica en El Bosque. ¡Mantengamos vivas nuestra tradiciones! Gracias a los vecinos y a la concejal Patricia Arriagada por el grato momento! #PilladoDiputado #PiñeraPresidente";"pena folclorica, el bosque , Region Metropolitana, Chile";"ALVARO PILLADO";-70,6874312;-33,57146;57,13
